Window,SL Multiplier,Either Candle,Same Candle,Two Lots One Candle,Either Candle - Diff,Either Candle - % Change,Two Lots One Candle - Diff,Two Lots One Candle - % Change,Metric
9,3.0,3344.32999999993,2888.6899999999937,3028.5799999999967,455.6399999999362,15.77323977304374,139.89000000000306,4.842679553707852,Total PnL
9,3.25,3218.164999999926,2853.1924999999915,2984.3824999999915,364.97249999993437,12.791723656918888,131.19000000000005,4.598007319870652,Total PnL
9,3.5,3144.1449999999218,2864.489999999988,3013.5849999999828,279.6549999999338,9.762819908602753,149.0949999999948,5.204940495515621,Total PnL
9,3.75,3152.459999999932,2746.919999999989,2896.867499999982,405.53999999994267,14.76344414835322,149.94749999999294,5.458750163819606,Total PnL
9,4.0,3177.0799999999263,2799.5299999999834,2831.02999999998,377.5499999999429,13.486192325138333,31.499999999996817,1.125188870988952,Total PnL
10,1.0,3451.329999999983,2931.90999999997,3001.469999999977,519.4200000000133,17.71609633310772,69.56000000000722,2.372514845271783,Total PnL
10,1.5,3573.569999999971,2956.329999999967,3036.4349999999768,617.2400000000039,20.87858933204381,80.10500000000957,2.709609549678502,Total PnL
10,2.0,3395.799999999966,2870.109999999966,2940.3399999999783,525.69,18.31602273083632,70.2300000000123,2.446944542195704,Total PnL
10,2.5,3257.334999999963,2799.314999999968,2887.249999999982,458.019999999995,16.36185995502472,87.93500000001359,3.141304211923795,Total PnL
10,2.75,3448.334999999965,2814.084999999972,2929.419999999981,634.2499999999932,22.538409465243568,115.33500000000913,4.098490273037605,Total PnL
10,3.0,3443.3299999999645,2780.069999999976,2904.2199999999903,663.2599999999884,23.85767264853022,124.15000000001419,4.465714892071611,Total PnL
10,3.25,3361.2024999999644,2727.672499999976,2860.1274999999923,633.5299999999884,23.226028784613767,132.4550000000163,4.855971528840705,Total PnL
10,3.5,3250.3249999999607,2855.369999999981,3002.17499999999,394.9549999999799,13.832007760814976,146.8050000000094,5.141365217117585,Total PnL
10,3.75,3233.654999999958,2754.169999999985,2900.4349999999936,479.48499999997284,17.40941917165518,146.2650000000085,5.310674359244684,Total PnL
10,4.0,3301.109999999956,2823.2999999999806,2851.889999999994,477.8099999999754,16.923812559769726,28.590000000013333,1.012644777388642,Total PnL
1,1.0,64.35000000000218,48.09999999999764,47.90999999999576,16.25000000000454,33.78378378379488,-0.19000000000188066,-0.3950103950143243,Max Drawdown
1,1.5,68.42999999999847,46.63499999999704,50.66499999999724,21.79500000000143,46.735284657452155,4.0300000000002,8.641578213788904,Max Drawdown
1,2.0,72.10000000000036,57.57999999999811,55.149999999996,14.520000000002256,25.21708926711138,-2.43000000000211,-4.220215352556773,Max Drawdown
1,2.5,75.6100000000024,63.775000000002365,60.84500000000208,11.835000000000036,18.557428459427044,-2.930000000000284,-4.594276754214309,Max Drawdown
1,2.75,77.71999999999571,69.2349999999974,64.48750000000246,8.484999999998308,12.25536217230971,-4.747499999994943,-6.857080956156744,Max Drawdown
1,3.0,79.08999999999469,72.44999999999618,67.71000000000367,6.639999999998508,9.164941338852808,-4.739999999992506,-6.542443064172196,Max Drawdown
1,3.25,80.45999999999913,75.66499999999633,69.68750000000364,4.795000000002801,6.337143989959736,-5.977499999992688,-7.899953743465245,Max Drawdown
1,3.5,84.0849999999864,78.87999999999465,71.97500000000446,5.204999999991742,6.59863083163298,-6.904999999990196,-8.75380324542427,Max Drawdown
1,3.75,86.27249999999003,89.00249999999687,79.3200000000079,-2.7300000000068394,-3.0673295694019105,-9.682499999988977,-10.87890789583362,Max Drawdown
